"","Country","seatprop","ger_tertiary","ger_secondary","molten.flfpr","molten.gdp","molten.gni","molten.pop","ml_wagespaid1","ml_length1","fertility"
"133","Saudi Arabia",7.09553571428571,44.8036363636364,100.352,18.8846471449908,490866001943.642,45573.5294117647,25654166.1111111,50,10,3.11272222222222
"134","Senegal",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07544444444444
"135","Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46722222222222
"136","Seychelles",30.6514944444444,6.74933333333333,78.8474509803922,NA,985324485.538852,19331.7647058824,84965.9444444444,30,14,2.32944444444444
"137","Sierra Leone",12.5727611111111,58.97,37.4311111111111,61.0942353641286,2613592193.27614,1193.52941176471,6005840.44444444,100,12,5.38033333333333
"138","Singapore",19.2320055555556,NA,108.123333333333,55.9413526198443,202334277532.374,65450.5882352941,4695601.55555556,100,16,1.27333333333333
"139","Slovenia",19.7530722222222,27.4113333333333,102.260208333333,52.4880000843721,42256050721.959,26888.2352941176,2006999.05555556,100,15,1.42833333333333
"140","Solomon Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.48188888888889
"141","Somalia",11.2675272727273,NA,5.96666666666667,17.8843530767104,3274175212.08308,NA,11277242.9444444,50,14,6.96455555555556
"142","South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57666666666667
"143","South Sudan",26.8315833333333,NA,9.46,70.8032347735237,12632152361.7187,1963.33333333333,8588166.77777778,NA,NA,5.50027777777778
"144","Spain",34.4830277777778,30.6258823529412,120.475392156863,48.7999408946318,1172236285231.76,30750.5882352941,44230891.7777778,100,16,1.32444444444444
"145","Sri Lanka",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24494444444444
"146","Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95983333333333
"147","Suriname",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65944444444444
"148","Sweden",44.8264777777778,33.704,118.209791666667,59.528117684757,431843032883.72,41363.5294117647,9247601.44444444,80,14,1.81555555555556
"149","Switzerland",27.2222222222222,18.782,96.3172549019608,60.7161176344928,507228591697.87,52608.8235294118,7641914.94444444,80,14,1.47888888888889
"150","Syrian Arab Republic",11.8444444444444,49.51,63.8397619047619,14.667529667125,24131459821.8984,NA,18141314.8888889,100,14,3.49038888888889
"151","Tajikistan",15.7732055555556,NA,81.5307142857143,29.3852351693546,4956492239.76672,2316.47058823529,7155324.66666667,100,20,3.65866666666667
"152","Thailand",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56561111111111
"153","Timor-Leste",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16372222222222
"154","Togo",10.4305111111111,NA,42.2433333333333,78.160530090332,3058298498.85457,1240,6037965.66666667,100,14,4.93961111111111
"155","Tonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.96438888888889
"156","Trinidad and Tobago",23.7175666666667,NA,85.5366666666667,51.1629412033979,19058803127.6571,26285.2941176471,1298363.38888889,100,13,1.77377777777778
"157","Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12144444444444
"158","Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.223
"159","Turkmenistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79894444444444
"160","Tuvalu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Uganda",28.9333666666667,21.25,21.4833333333333,65.6792364681468,15720883424.3506,1426.47058823529,30489859.5,100,9,6.15916666666667
"162","Ukraine",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34961111111111
"163","United Arab Emirates",12.5,43.0675,95.8066666666667,42.3899998384364,271824357526.929,71485.2941176471,6604446.72222222,100,6,1.95961111111111
"164","Uruguay",13.0751833333333,46.75,101.145,54.3613525839413,33366056207.9065,15118.8235294118,3315221.83333333,100,12,2.0655
"165","Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.435
"166","Vanuatu",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15872222222222
"167","Zambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47766666666667
"168","Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86711111111111
"169","Aruba",NA,12.595,98.6097435897436,NA,2439467630.62767,33421.1764705882,98363.4444444444,0,NA,1.80838888888889
"170","Bermuda",NA,27.9566666666667,77.1833333333333,NA,4776687618.14858,69915.7142857143,63313.8333333333,0,NA,1.705
"171","British Virgin Islands",NA,28.205,99.8738461538462,NA,NA,NA,24991.8888888889,66.7,13,NA
"172","Cayman Islands",NA,33.92,NA,NA,3371448621.73469,44120,51949.2777777778,0,NA,NA
"173","Puerto Rico",NA,36.1883333333333,82.1395238095238,35.347411884981,86976068350,22018.2352941176,3607314.05555556,100,8,1.61896111111111
"174","Sint Maarten (Dutch part)",NA,75,NA,NA,NA,33521.25,34681.9411764706,NA,NA,1.776
"175","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Arab World",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.50945933454385
"177","Bahamas, The",NA,NA,NA,68.6822348201976,9704929662.30937,29160,332677.944444444,NA,NA,1.8655
"178","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.36366666666667
"179","Caribbean small states",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1982376281709
"180","Central Europe and the Baltics",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38624790027508
"181","Channel Islands",NA,NA,NA,49.8962938645307,8400073589.99525,NA,155207.166666667,NA,NA,1.53905555555556
"182","Congo, Dem. Rep.",NA,NA,NA,65.5728232439827,21040182864.2499,617.058823529412,60701042.0555556,NA,NA,6.51738888888889
"183","Congo, Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.747
"184","Cote d'Ivoire",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23388888888889
